,timestamp,idx,side,level,price,qty,filled,V_before,V_above,V_same,own_better,V_above_total,market_sell_volume,remaining_volume,volume_changed,order_refreshed,obp,best_bid,best_ask,spread,V_below,V_below_total,market_buy_volume
0,1748699400,0,buy,1,0.2109,100.0,0.0,91177.29999999999,46485.899999999994,44691.4,0.0,46485.899999999994,0.0,0.0,False,True,,0.2111,0.2112,9.999999999998899e-05,,,
1,1748699400,0,buy,2,0.21080000000000002,200.0,0.0,164101.90000000002,91177.3,72824.6,100.0,91277.3,0.0,0.0,False,True,,0.2111,0.2112,9.999999999998899e-05,,,
2,1748699400,0,buy,3,0.2107,400.0,0.0,243511.09999999998,164001.9,79209.2,300.0,164301.9,0.0,0.0,False,True,,0.2111,0.2112,9.999999999998899e-05,,,
3,1748699400,0,sell,1,0.211,100.0,0.0,0.0,,0.0,0.0,,,0.0,False,True,,0.2111,0.2112,9.999999999998899e-05,0.0,0.0,0.0
4,1748699400,0,sell,2,0.21109999999999998,200.0,0.0,100.0,,0.0,100.0,,,0.0,False,True,,0.2111,0.2112,9.999999999998899e-05,0.0,100.0,0.0
5,1748699400,0,sell,3,0.2112,400.0,0.0,12550.1,,12250.1,300.0,,,0.0,False,True,,0.2111,0.2112,9.999999999998899e-05,0.0,300.0,0.0
6,1748699401,1,buy,1,0.2109,100.0,0.0,88882.4,47433.1,41449.3,0.0,47433.1,0.0,0.0,False,False,,0.2111,0.2112,9.999999999998899e-05,,,
7,1748699401,1,buy,2,0.21080000000000002,200.0,0.0,161807.0,88882.4,72824.6,100.0,88982.4,0.0,0.0,False,False,,0.2111,0.2112,9.999999999998899e-05,,,
8,1748699401,1,buy,3,0.2107,400.0,0.0,241216.2,161707.0,79209.2,300.0,162007.0,0.0,0.0,False,False,,0.2111,0.2112,9.999999999998899e-05,,,
9,1748699401,1,sell,1,0.211,100.0,0.0,0.0,,0.0,0.0,,,0.0,False,False,,0.2111,0.2112,9.999999999998899e-05,0.0,0.0,0.0
10,1748699401,1,sell,2,0.21109999999999998,200.0,0.0,100.0,,0.0,100.0,,,0.0,False,False,,0.2111,0.2112,9.999999999998899e-05,0.0,100.0,0.0
11,1748699401,1,sell,3,0.2112,400.0,0.0,14507.3,,14207.3,300.0,,,0.0,False,False,,0.2111,0.2112,9.999999999998899e-05,0.0,300.0,0.0
12,1748699402,2,buy,1,0.2109,100.0,0.0,97951.9,56502.6,41449.3,0.0,56502.6,0.0,0.0,False,False,,0.2111,0.2112,9.999999999998899e-05,,,
13,1748699402,2,buy,2,0.21080000000000002,200.0,0.0,177713.2,97951.9,79661.3,100.0,98051.9,0.0,0.0,False,False,,0.2111,0.2112,9.999999999998899e-05,,,
14,1748699402,2,buy,3,0.2107,400.0,0.0,250093.90000000002,177613.2,72180.7,300.0,177913.2,0.0,0.0,False,False,,0.2111,0.2112,9.999999999998899e-05,,,
15,1748699402,2,sell,1,0.211,100.0,0.0,0.0,,0.0,0.0,,,0.0,False,False,,0.2111,0.2112,9.999999999998899e-05,0.0,0.0,0.0
16,1748699402,2,sell,2,0.21109999999999998,200.0,0.0,100.0,,0.0,100.0,,,0.0,False,False,,0.2111,0.2112,9.999999999998899e-05,0.0,100.0,0.0
17,1748699402,2,sell,3,0.2112,400.0,0.0,9535.1,,9235.1,300.0,,,0.0,False,False,,0.2111,0.2112,9.999999999998899e-05,0.0,300.0,0.0
18,1748699403,3,buy,1,0.2109,100.0,0.0,108464.1,56502.6,51961.5,0.0,56502.6,0.0,0.0,False,False,,0.2111,0.2112,9.999999999998899e-05,,,
19,1748699403,3,buy,2,0.21080000000000002,200.0,0.0,188225.40000000002,108464.1,79661.3,100.0,108564.1,0.0,0.0,False,False,,0.2111,0.2112,9.999999999998899e-05,,,
20,1748699403,3,buy,3,0.2107,400.0,0.0,260606.09999999998,188125.4,72180.7,300.0,188425.4,0.0,0.0,False,False,,0.2111,0.2112,9.999999999998899e-05,,,
21,1748699403,3,sell,1,0.211,100.0,0.0,0.0,,0.0,0.0,,,0.0,False,False,,0.2111,0.2112,9.999999999998899e-05,0.0,0.0,0.0
22,1748699403,3,sell,2,0.21109999999999998,200.0,0.0,100.0,,0.0,100.0,,,0.0,False,False,,0.2111,0.2112,9.999999999998899e-05,0.0,100.0,0.0
23,1748699403,3,sell,3,0.2112,400.0,0.0,9535.1,,9235.1,300.0,,,0.0,False,False,,0.2111,0.2112,9.999999999998899e-05,0.0,300.0,0.0
24,1748699404,4,buy,1,0.2109,100.0,0.0,108476.2,56514.7,51961.5,0.0,56514.7,0.0,0.0,False,False,,0.2111,0.2112,9.999999999998899e-05,,,
25,1748699404,4,buy,2,0.21080000000000002,200.0,0.0,188237.9,108476.2,79661.7,100.0,108576.2,0.0,0.0,False,False,,0.2111,0.2112,9.999999999998899e-05,,,
26,1748699404,4,buy,3,0.2107,400.0,0.0,259671.4,188137.9,71233.5,300.0,188437.9,0.0,0.0,False,False,,0.2111,0.2112,9.999999999998899e-05,,,
27,1748699404,4,sell,1,0.211,100.0,0.0,0.0,,0.0,0.0,,,0.0,False,False,,0.2111,0.2112,9.999999999998899e-05,0.0,0.0,0.0
