,timestamp,open,high,low,close,volume,quote_asset_volume,n_trades,taker_buy_base_volume,taker_buy_quote_volume,bids,asks,datetime,taker_sell_base_volume,buy_level_1_price,buy_level_1_qty,buy_level_1_filled,buy_level_1_V_before,sell_level_1_price,sell_level_1_qty,sell_level_1_filled,sell_level_1_V_before,buy_level_2_price,buy_level_2_qty,buy_level_2_filled,buy_level_2_V_before,sell_level_2_price,sell_level_2_qty,sell_level_2_filled,sell_level_2_V_before,Base_Asset_Stock,Quote_Asset_Stock,PNL
0,1748699400,0.2112,0.2112,0.2112,0.2112,0.0,0.0,0.0,0.0,0.0,"[[0.2111, 8741.3], [0.211, 37744.6], [0.2109, 44691.4], [0.21080000000000002, 72824.6], [0.2107, 79209.2], [0.2106, 53450.1], [0.21050000000000002, 51465.0], [0.2104, 63152.3], [0.21030000000000001, 50323.1], [0.2102, 15184.2], [0.2101, 27814.5], [0.21, 56422.5], [0.2099, 8355.1], [0.20980000000000001, 8420.8], [0.2097, 30876.5], [0.2096, 33640.9], [0.20950000000000002, 8231.0], [0.2094, 44104.6], [0.2093, 7610.2], [0.2092, 14305.8]]","[[0.2112, 12250.1], [0.21130000000000002, 49985.2], [0.2114, 94450.2], [0.21150000000000002, 87720.6], [0.2116, 70836.4], [0.2117, 46470.1], [0.21180000000000002, 53271.4], [0.2119, 50244.1], [0.212, 27748.9], [0.2121, 13153.3], [0.2122, 75034.1], [0.21230000000000002, 14227.8], [0.2124, 31124.8], [0.21250000000000002, 10040.6], [0.2126, 11573.6], [0.2127, 8571.9], [0.21280000000000002, 26157.1], [0.2129, 8346.9], [0.213, 13878.9], [0.2131, 4712.1]]",2025-05-31 13:50:00,0.0,0.2112,500.0,0.0,0.0,0.2111,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,800.0,2912.0
1,1748699401,0.2112,0.2112,0.2112,0.2112,0.0,0.0,0.0,0.0,0.0,"[[0.2111, 9688.5], [0.211, 37744.6], [0.2109, 41449.3], [0.21080000000000002, 72824.6], [0.2107, 79209.2], [0.2106, 53450.1], [0.21050000000000002, 51465.0], [0.2104, 63152.3], [0.21030000000000001, 50323.1], [0.2102, 15184.2], [0.2101, 27814.5], [0.21, 56422.5], [0.2099, 8355.1], [0.20980000000000001, 8420.8], [0.2097, 30876.5], [0.2096, 33640.9], [0.20950000000000002, 8231.0], [0.2094, 44104.6], [0.2093, 7610.2], [0.2092, 14305.8]]","[[0.2112, 14207.3], [0.21130000000000002, 54208.2], [0.2114, 108667.6], [0.21150000000000002, 73508.3], [0.2116, 67067.6], [0.2117, 46470.1], [0.21180000000000002, 53271.4], [0.2119, 50244.1], [0.212, 27748.9], [0.2121, 13153.3], [0.2122, 75034.1], [0.21230000000000002, 14227.8], [0.2124, 31124.8], [0.21250000000000002, 10040.6], [0.2126, 11573.6], [0.2127, 8571.9], [0.21280000000000002, 26157.1], [0.2129, 8346.9], [0.213, 13878.9], [0.2131, 4712.1]]",2025-05-31 13:50:01,0.0,0.2112,500.0,0.0,0.0,0.2111,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,800.0,2912.0
2,1748699402,0.2112,0.2112,0.2112,0.2112,0.0,0.0,0.0,0.0,0.0,"[[0.2111, 18758.0], [0.211, 37744.6], [0.2109, 41449.3], [0.21080000000000002, 79661.3], [0.2107, 72180.7], [0.2106, 62063.8], [0.21050000000000002, 47355.6], [0.2104, 53780.2], [0.21030000000000001, 50323.1], [0.2102, 15184.2], [0.2101, 27814.5], [0.21, 56422.5], [0.2099, 8355.1], [0.20980000000000001, 8420.8], [0.2097, 30876.5], [0.2096, 33640.9], [0.20950000000000002, 8231.0], [0.2094, 44104.6], [0.2093, 7610.2], [0.2092, 14305.8]]","[[0.2112, 9235.1], [0.21130000000000002, 51279.3], [0.2114, 108667.6], [0.21150000000000002, 68623.1], [0.2116, 67067.6], [0.2117, 51547.8], [0.21180000000000002, 53271.4], [0.2119, 50244.1], [0.212, 27748.9], [0.2121, 13153.3], [0.2122, 75034.1], [0.21230000000000002, 14227.8], [0.2124, 31124.8], [0.21250000000000002, 10040.6], [0.2126, 11573.6], [0.2127, 8571.9], [0.21280000000000002, 26157.1], [0.2129, 8346.9], [0.213, 13878.9], [0.2131, 4712.1]]",2025-05-31 13:50:02,0.0,0.2112,500.0,0.0,0.0,0.2111,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,800.0,2912.0
3,1748699403,0.2112,0.2112,0.2112,0.2112,0.0,0.0,0.0,0.0,0.0,"[[0.2111, 18758.0], [0.211, 37744.6], [0.2109, 51961.5], [0.21080000000000002, 79661.3], [0.2107, 72180.7], [0.2106, 56789.5], [0.21050000000000002, 42467.9], [0.2104, 53751.6], [0.21030000000000001, 50323.1], [0.2102, 15184.2], [0.2101, 27814.5], [0.21, 56422.5], [0.2099, 8355.1], [0.20980000000000001, 9241.6], [0.2097, 30876.5], [0.2096, 10911.2], [0.20950000000000002, 30978.6], [0.2094, 44104.6], [0.2093, 7610.2], [0.2092, 14305.8]]","[[0.2112, 9235.1], [0.21130000000000002, 51279.3], [0.2114, 108667.6], [0.21150000000000002, 68623.1], [0.2116, 76270.1], [0.2117, 42345.3], [0.21180000000000002, 53271.4], [0.2119, 50244.1], [0.212, 27748.9], [0.2121, 13153.3], [0.2122, 75034.1], [0.21230000000000002, 14227.8], [0.2124, 31124.8], [0.21250000000000002, 10040.6], [0.2126, 11573.6], [0.2127, 8571.9], [0.21280000000000002, 26157.1], [0.2129, 8346.9], [0.213, 13878.9], [0.2131, 4712.1]]",2025-05-31 13:50:03,0.0,0.2112,500.0,0.0,0.0,0.2111,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,800.0,2912.0
4,1748699404,0.2112,0.2112,0.2112,0.2112,0.0,0.0,0.0,0.0,0.0,"[[0.2111, 18770.1], [0.211, 37744.6], [0.2109, 51961.5], [0.21080000000000002, 79661.7], [0.2107, 71233.5], [0.2106, 80457.1], [0.21050000000000002, 18780.6], [0.2104, 53751.6], [0.21030000000000001, 50323.1], [0.2102, 15184.2], [0.2101, 27814.5], [0.21, 56422.5], [0.2099, 8355.1], [0.20980000000000001, 9241.6], [0.2097, 30876.5], [0.2096, 10911.2], [0.20950000000000002, 30978.6], [0.2094, 44104.6], [0.2093, 7610.2], [0.2092, 14305.8]]","[[0.2112, 9008.9], [0.21130000000000002, 42093.8], [0.2114, 103395.2], [0.21150000000000002, 68623.1], [0.2116, 77720.0], [0.2117, 53213.3], [0.21180000000000002, 53271.4], [0.2119, 50244.1], [0.212, 27748.9], [0.2121, 13153.3], [0.2122, 75034.1], [0.21230000000000002, 13701.8], [0.2124, 31124.8], [0.21250000000000002, 10040.6], [0.2126, 11573.6], [0.2127, 8571.9], [0.21280000000000002, 26157.1], [0.2129, 8346.9], [0.213, 13878.9], [0.2131, 4712.1]]",2025-05-31 13:50:04,0.0,0.2112,500.0,0.0,0.0,0.2111,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,800.0,2912.0
5,1748699405,0.2112,0.2112,0.2112,0.2112,0.0,0.0,0.0,0.0,0.0,"[[0.2111, 9688.3], [0.211, 37744.6], [0.2109, 51961.5], [0.21080000000000002, 79661.7], [0.2107, 71233.5], [0.2106, 80457.1], [0.21050000000000002, 18780.6], [0.2104, 53751.6], [0.21030000000000001, 50323.1], [0.2102, 15184.2], [0.2101, 27814.5], [0.21, 56422.5], [0.2099, 8355.1], [0.20980000000000001, 9241.6], [0.2097, 30876.5], [0.2096, 10911.2], [0.20950000000000002, 30978.6], [0.2094, 44104.6], [0.2093, 7610.2], [0.2092, 14305.8]]","[[0.2112, 9008.9], [0.21130000000000002, 42093.8], [0.2114, 103395.2], [0.21150000000000002, 68623.1], [0.2116, 77720.0], [0.2117, 53213.3], [0.21180000000000002, 53271.4], [0.2119, 50244.1], [0.212, 27748.9], [0.2121, 13153.3], [0.2122, 75034.1], [0.21230000000000002, 13701.8], [0.2124, 31124.8], [0.21250000000000002, 10040.6], [0.2126, 11573.6], [0.2127, 8571.9], [0.21280000000000002, 26157.1], [0.2129, 8346.9], [0.213, 13878.9], [0.2131, 4712.1]]",2025-05-31 13:50:05,0.0,0.2112,500.0,0.0,0.0,0.2111,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,800.0,2912.0
6,1748699406,0.2112,0.2112,0.2112,0.2112,0.0,0.0,0.0,0.0,0.0,"[[0.2111, 3090.9], [0.211, 32683.5], [0.2109, 41449.3], [0.21080000000000002, 65134.7], [0.2107, 78993.7], [0.2106, 90429.3], [0.21050000000000002, 18780.6], [0.2104, 65209.3], [0.21030000000000001, 50323.1], [0.2102, 15595.8], [0.2101, 27814.5], [0.21, 56422.5], [0.2099, 8355.1], [0.20980000000000001, 9241.6], [0.2097, 30876.5], [0.2096, 10911.2], [0.20950000000000002, 30978.6], [0.2094, 44104.6], [0.2093, 7610.2], [0.2092, 14305.8]]","[[0.2112, 21195.6], [0.21130000000000002, 41544.9], [0.2114, 108829.4], [0.21150000000000002, 68623.1], [0.2116, 88229.0], [0.2117, 37267.2], [0.21180000000000002, 53271.4], [0.2119, 61638.5], [0.212, 14713.5], [0.2121, 13153.3], [0.2122, 75034.1], [0.21230000000000002, 13701.8], [0.2124, 31124.8], [0.21250000000000002, 10040.6], [0.2126, 11573.6], [0.2127, 8571.9], [0.21280000000000002, 26157.1], [0.2129, 8346.9], [0.213, 13878.9], [0.2131, 4712.1]]",2025-05-31 13:50:06,0.0,0.2112,500.0,0.0,0.0,0.2111,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,800.0,2912.0
7,1748699407,0.2112,0.2112,0.2112,0.2112,0.0,0.0,0.0,0.0,0.0,"[[0.2111, 3090.9], [0.211, 32683.5], [0.2109, 41449.3], [0.21080000000000002, 65134.7], [0.2107, 78993.7], [0.2106, 90429.3], [0.21050000000000002, 18780.6], [0.2104, 65209.3], [0.21030000000000001, 50323.1], [0.2102, 15595.8], [0.2101, 27814.5], [0.21, 56422.5], [0.2099, 8355.1], [0.20980000000000001, 9241.6], [0.2097, 30876.5], [0.2096, 10911.2], [0.20950000000000002, 30978.6], [0.2094, 44104.6], [0.2093, 7610.2], [0.2092, 14305.8]]","[[0.2112, 21195.6], [0.21130000000000002, 41544.9], [0.2114, 119325.1], [0.21150000000000002, 68623.1], [0.2116, 88229.0], [0.2117, 26755.5], [0.21180000000000002, 53271.4], [0.2119, 61638.5], [0.212, 14713.5], [0.2121, 13153.3], [0.2122, 75034.1], [0.21230000000000002, 13701.8], [0.2124, 31124.8], [0.21250000000000002, 10040.6], [0.2126, 11573.6], [0.2127, 8571.9], [0.21280000000000002, 26157.1], [0.2129, 8346.9], [0.213, 13878.9], [0.2131, 4712.1]]",2025-05-31 13:50:07,0.0,0.2112,500.0,0.0,0.0,0.2111,200.0,62.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9937.7,813.15153,2911.99377
8,1748699408,0.2112,0.2112,0.2112,0.2112,62.3,13.15776,1.0,62.3,13.15776,"[[0.2111, 6686.3], [0.211, 37426.2], [0.2109, 41449.3], [0.21080000000000002, 65134.7], [0.2107, 78993.7], [0.2106, 90429.3], [0.21050000000000002, 18780.6], [0.2104, 65209.3], [0.21030000000000001, 50323.1], [0.2102, 15595.8], [0.2101, 27814.5], [0.21, 56422.5], [0.2099, 8355.1], [0.20980000000000001, 9241.6], [0.2097, 8383.3], [0.2096, 33406.9], [0.20950000000000002, 30978.6], [0.2094, 44104.6], [0.2093, 7610.2], [0.2092, 14305.8]]","[[0.2112, 19315.6], [0.21130000000000002, 41544.9], [0.2114, 119325.1], [0.21150000000000002, 68623.1], [0.2116, 88229.0], [0.2117, 26755.5], [0.21180000000000002, 53271.4], [0.2119, 61638.5], [0.212, 14713.5], [0.2121, 13153.3], [0.2122, 75034.1], [0.21230000000000002, 13701.8], [0.2124, 31124.8], [0.21250000000000002, 10040.6], [0.2126, 11573.6], [0.2127, 8571.9], [0.21280000000000002, 26157.1], [0.2129, 8346.9], [0.213, 13878.9], [0.2131, 4712.1]]",2025-05-31 13:50:08,0.0,0.2112,500.0,0.0,0.0,0.2111,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9937.7,813.15153,2911.99377
9,1748699409,0.2112,0.2112,0.2112,0.2112,0.0,0.0,0.0,0.0,0.0,"[[0.2111, 6686.3], [0.211, 37426.2], [0.2109, 41449.3], [0.21080000000000002, 65134.7], [0.2107, 78993.7], [0.2106, 90429.3], [0.21050000000000002, 18780.6], [0.2104, 65209.3], [0.21030000000000001, 50323.1], [0.2102, 15595.8], [0.2101, 27814.5], [0.21, 56422.5], [0.2099, 8355.1], [0.20980000000000001, 9241.6], [0.2097, 8383.3], [0.2096, 33406.9], [0.20950000000000002, 30978.6], [0.2094, 44104.6], [0.2093, 7610.2], [0.2092, 14305.8]]","[[0.2112, 22658.9], [0.21130000000000002, 42028.9], [0.2114, 119325.1], [0.21150000000000002, 68623.1], [0.2116, 88229.0], [0.2117, 26755.5], [0.21180000000000002, 53271.4], [0.2119, 61638.5], [0.212, 14713.5], [0.2121, 13153.3], [0.2122, 75034.1], [0.21230000000000002, 13701.8], [0.2124, 31124.8], [0.21250000000000002, 10040.6], [0.2126, 11573.6], [0.2127, 8543.6], [0.21280000000000002, 26157.1], [0.2129, 8346.9], [0.213, 13878.9], [0.2131, 4712.1]]",2025-05-31 13:50:09,0.0,0.2112,500.0,0.0,0.0,0.2111,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9937.7,813.15153,2911.99377
